parent_operator,total_capacity_kw,market_share_percent
Berkshire Hathaway,9756499.0,7.851941935975935
Avangrid,7363340.0,5.925949270824406
"Big Sky Wind, LLC",5053620.0,4.067107556356713
Invenergy,3546780.0,2.8544163864190146
"EDF Renewable Asset Holdings, Inc.",3275605.0,2.6361772050806804
Duke Energy,2968530.0,2.389046029236783
Pattern Operators LP,2518130.0,2.0265681928772894
Southern Company,2347165.0,1.8889771109652096
Engie North America,1957415.0,1.5753098447105194
Northern States Power Co - Minnesota,1915200.0,1.5413355954611498
AE Power Services LLC,1654950.0,1.3318887550691467
Enel,1631530.0,1.3130405514111998
"Leeward Asset Management, LLC",1610765.0,1.2963290676811712
Interstate Power and Light Co,1290250.0,1.0383815016936866
DTE Electric Company,1233020.0,0.9923233165807784
Algonquin Power Co,1201500.0,0.9669563063630803
Public Service Co of Colorado,1094400.0,0.8807631974063713
AES Distributed Energy,1093100.0,0.8797169691930778
NextEra Energy,1092500.0,0.8792340946330964
Onward Energy,1042100.0,0.838672631594645
Southwestern Public Service Co,998600.0,0.8036642259959818
ALLETE Clean Energy,929690.0,0.7482060827820992
Boralex US Operations LLC,893550.0,0.719120938452543
Caithness Shepherds Flat LLC,845000.0,0.6800483386407016
SunEdison LLC,840280.0,0.6762497254355132
Portland General Electric Co,816960.0,0.6574820008708965
Puget Sound Energy Inc,771900.0,0.6212181214162811
FPL Energy Horse Hollow LLC,735500.0,0.5919237314440663
"Evergreen Wind, LLC",697200.0,0.5611002386985764
Terra-Gen Operating Co-Wind,671216.0,0.5401885510876415
Capricorn Ridge Wind LLC,662500.0,0.533173993312976
Consumers Energy Co - (MI),642080.0,0.5167401624549368
"Evergy Kansas Central, Inc",625700.0,0.5035576869674402
"Valcour Operating Services, LLC",612000.0,0.4925320511811945
Limon,600600.0,0.48335743454154473
Empire District Electric Co,599800.0,0.4827136017949027
Acciona Wind Energy USA LLC,546720.0,0.43999529905520035
"Aviator Wind, LLC",525020.0,0.4225313358025338
"ALLETE, Inc.",521600.0,0.419778950810639
"High Lonesome Wind Power, LLC",500535.0,0.4028260298006196
Oklahoma Gas & Electric Co,448700.0,0.36110969177287905
"Acciona Energy USA Global, LLC",436050.0,0.35092908646660104
Wisconsin Power & Light Co,421150.0,0.33893770156039227
Mesquite Star Special LLC,418900.0,0.33712692196046135
"Jordan Creek Wind Farm, LLC",401920.0,0.32346157191298314
Union Electric Co - (MO),400000.0,0.3219163733210421
Mesquite Wind LLC,400000.0,0.3219163733210421
Headwaters Wind Farm LLC,382400.0,0.3077520528949163
Stephens Ranch Wind Energy LLC,375900.0,0.3025209118284493
Otter Tail Power Co,350400.0,0.2819987430292329
Mohave County Wind Farm,349600.0,0.2813549102825908
"Foard City Wind, LLC",345240.0,0.27784602181339146
"Sage Draw Wind, LLC",338400.0,0.27234125182960167
Wisconsin Electric Power Co,337200.0,0.2713755027096385
"Flat Rock Windpower, LLC",321750.0,0.25894148279011325
"Rattlesnake Creek Wind Project, LLC",318150.0,0.2560442354302239
Consolidated Edison Development Inc.,308650.0,0.24839872156384915
Exus Pennsylvania Wind Holdings,306900.0,0.24699033743056956
TC Energy,303750.0,0.24445524599066634
Greenbacker Renewable Energy Corporation,301750.0,0.24284566412406117
Soldier Creek Wind LLC,300960.0,0.24220987928675208
"FPLE Wind, LLC",300800.0,0.24208111273742366
"Pioneer Prairie Wind Farm I, LLC",300300.0,0.24167871727077236
"Milligan 1 Wind, LLC",300000.0,0.2414372799907816
Chisholm View Wind Project,300000.0,0.2414372799907816
"Tahoka Wind, LLC",300000.0,0.2414372799907816
"TX Jumbo Road Wind, LLC",299700.0,0.2411958427107908
Balko Wind LLC,299700.0,0.2411958427107908
FPL Energy Vansycle LLC,299640.0,0.24114755525479267
"Bronco Plains Wind, LLC",299360.0,0.24092221379346793
"Red Dirt Wind Project, LLC",299250.0,0.24083368679080464
"Aurora Wind Project, LLC",298800.0,0.2404715308708185
Canadian Hills Wind LLC,298450.0,0.24018985404416254
"Thunder Ranch Wind Project, LLC",297800.0,0.23966673993751586
Ranchero Wind Farm LLC,297500.0,0.2394253026575251
"Torrecillas Wind Energy, LLC",297500.0,0.2394253026575251
Kingfisher Wind LLC,296000.0,0.23821811625757117
Basin Electric Power Coop,284600.0,0.22904349961792148
Orion Energy Group LLC,280500.0,0.22574385679138081
Public Service Co of Oklahoma,278135.0,0.22384052623412015
FPL Energy Upton Wind LP,276900.0,0.2228466094314914
Clearway Energy,264000.0,0.21246480639188783
Shell Wind Energy Inc.,262420.0,0.21119323671726972
Windy Flats Partners LLC,262200.0,0.2110161827119431
"Dermott Wind, LLC",253000.0,0.20361210612555913
"Las Majadas Wind Farm, LLC",251600.0,0.2024853988189355
Skeleton Creek Energy Center,250900.0,0.20192204516562368
"Nobles 2 Power Partners, LLC",250400.0,0.20151964969897235
Cedar Point LLC,250200.0,0.20135869151231187
Amadeus Wind LLC,250120.0,0.20129430823764763
"Willow Springs Windfarm, LLC",250000.0,0.20119773332565133
Hidalgo Wind Farm LLC,250000.0,0.20119773332565133
Palo Duro Wind,249900.0,0.2011172542323211
Buffalo Dunes Wind Project LLC,249750.0,0.2009965355923257
"Javelina Wind Energy, LLC",249690.0,0.2009482481363275
Chapman Ranch Wind LLC,249075.0,0.20045330171234643
