operator_name,total_cap_mw,num_states,sector_name,avg_capacity_factor_2024,capacity_factor_trend,market_share_pct
Avangrid Power LLC,7363.34,23,NAICS-22 Non-Cogen,0.26420744274379093,,5.925949270824406
MidAmerican Energy Co,6747.379,1,Electric Utility,0.42531949621736553,0.06920558846283459,5.4302294427564
"Big Sky Wind, LLC",5053.62,7,NAICS-22 Non-Cogen,0.3077750119663218,,4.067107556356713
Invenergy Services LLC,3546.78,13,NAICS-22 Non-Cogen,0.3048532266685544,-0.03453389954605157,2.8544163864190146
"EDF Renewable Asset Holdings, Inc.",3275.605,9,NAICS-22 Non-Cogen,0.3156018422101665,-0.05300130074508669,2.6361772050806804
Duke Energy Renewables Services,2968.53,7,NAICS-22 Non-Cogen,0.238499641765591,,2.389046029236783
Pattern Operators LP,2518.13,8,NAICS-22 Non-Cogen,0.3361597066408229,-0.0008445786611625539,2.0265681928772894
Southern Power Co,2347.165,7,NAICS-22 Non-Cogen,0.4032477077973984,0.019758018368392027,1.8889771109652096
Engie North America,1957.415,4,NAICS-22 Non-Cogen,0.3849268851893151,0.12370886587175273,1.5753098447105194
Northern States Power Co - Minnesota,1915.2,4,Electric Utility,0.4607586770700474,0.11938788182871718,1.5413355954611498
AE Power Services LLC,1654.95,6,NAICS-22 Non-Cogen,0.3280543536629295,-0.029125890590340986,1.3318887550691467
"Leeward Asset Management, LLC",1610.765,7,NAICS-22 Non-Cogen,0.37163154284481187,0.04209780974811511,1.2963290676811712
PacifiCorp,1596.72,3,Electric Utility,0.30024338250371435,-0.08311015870561261,1.285025779022936
"BHE Renewables, LLC",1412.4,4,NAICS-22 Non-Cogen,0.43732063347500505,-0.0033126201679822276,1.1366867141965997
"Enel Green Power NA, Inc.",1332.28,4,NAICS-22 Non-Cogen,0.39473657680989516,-0.05084349619924011,1.072206864620395
Interstate Power and Light Co,1290.25,1,Electric Utility,0.37226071091829843,0.048467040469034495,1.0383815016936866
DTE Electric Company,1233.02,1,Electric Utility,0.3327545051350448,-0.006631219318270376,0.9923233165807784
Algonquin Power Co,1201.5,4,NAICS-22 Non-Cogen,0.34097993566187595,-0.028100223573263083,0.9669563063630803
Public Service Co of Colorado,1094.4,1,Electric Utility,0.42892048483312356,0.16821788660740628,0.8807631974063713
AES Distributed Energy,1093.1,6,NAICS-22 Non-Cogen,0.32028700157992346,0.02961621721079427,0.8797169691930778
Onward Energy,1042.1,4,NAICS-22 Non-Cogen,0.35160651873281484,-0.017937393233746157,0.838672631594645
Southwestern Public Service Co,998.6,2,Electric Utility,0.4949869480160305,0.4949869480160305,0.8036642259959818
ALLETE Clean Energy,929.69,7,NAICS-22 Non-Cogen,0.25621338876425576,,0.7482060827820992
Boralex US Operations LLC,893.55,2,NAICS-22 Non-Cogen,0.45852460022262476,,0.719120938452543
Caithness Shepherds Flat LLC,845.0,1,NAICS-22 Non-Cogen,0.24938107122569417,0.00032152939987889484,0.6800483386407016
SunEdison LLC,840.28,3,NAICS-22 Non-Cogen,0.3599726490567825,-0.013582268531000807,0.6762497254355132
Portland General Electric Co,816.96,2,Electric Utility,0.31289989440247323,0.07561392015285864,0.6574820008708965
Puget Sound Energy Inc,771.9,1,Electric Utility,0.2833281213574311,-0.03059161849263886,0.6212181214162811
FPL Energy Horse Hollow LLC,735.5,1,NAICS-22 Non-Cogen,0.3804691243828777,-0.008572845504897952,0.5919237314440663
"Evergreen Wind, LLC",697.2,5,NAICS-22 Non-Cogen,0.2791333622734237,-0.019457419072348825,0.5611002386985764
Terra-Gen Operating Co-Wind,671.216,3,NAICS-22 Non-Cogen,inf,,0.5401885510876415
Capricorn Ridge Wind LLC,662.5,1,NAICS-22 Non-Cogen,0.34114066742275834,-0.047114307316905524,0.533173993312976
Consumers Energy Co - (MI),642.08,1,Electric Utility,0.2978602900935583,,0.5167401624549368
