t_state,state_hhi,total_state_capacity_kw,unique_operators,top_operator,top_operator_share_pct
CT,10000.0,5700.0,1,Wind Colebrook South,100.0
DE,10000.0,2000.0,1,First State Marine Wind,100.0
NV,10000.0,151800.0,1,Pattern Operators LP,100.0
NC,10000.0,208000.0,1,Avangrid,100.0
NJ,10000.0,7500.0,1,"Leeward Asset Management, LLC",100.0
TN,8726.90096832684,28980.0,2,Invenergy,93.16770186335404
UT,3750.771594349396,386500.0,4,"Milford Wind Corridor Phase I, LLC (Longroad)",52.652005174644245
AZ,3723.0620794952197,615300.0,6,Mohave County Wind Farm,56.81781244921177
IA,3684.5557229200795,11390697.0,53,Berkshire Hathaway,59.235874679135094
NH,3495.9429443866884,214050.0,4,NextEra Energy,46.25087596355992
VT,3324.459457947898,149500.0,4,Green Mountain Power Corp,46.48829431438127
AK,2840.858354687078,59785.0,7,Golden Valley Elec Assn Inc,41.14744501129046
MD,2742.3822714681432,190000.0,4,Criterion Power Partners LLC,36.84210526315789
WI,2741.6604447371346,734970.0,10,Wisconsin Electric Power Co,45.8794236499449
HI,2610.2778241948263,222600.0,6,"Evergreen Wind, LLC",36.38814016172507
WY,2513.116941377536,2531750.0,12,Berkshire Hathaway,45.42786610052335
ME,2262.9901663030782,995200.0,12,Onward Energy,38.52491961414791
WV,2005.0301145734193,742000.0,7,Clearway Energy,35.57951482479784
MI,2000.886922145767,3222150.0,16,DTE Electric Company,38.266995639557436
OR,1698.125636277523,3723010.0,27,Avangrid,29.601048613890374
OH,1683.9450618034127,1100900.0,22,Avangrid,27.61377055136706
MA,1629.5374595837166,91670.0,17,Avangrid,31.08977855350715
NY,1610.2660771396274,1975060.0,15,"Valcour Operating Services, LLC",30.986400413152005
MN,1423.6639883529876,4324580.0,48,Northern States Power Co - Minnesota,28.039717151723405
ID,1309.8682211046353,955700.0,15,Ridgeline Energy LLC,20.811970283561788
MT,1229.900279353738,877785.0,14,NaturEner Rim Rock Energy LLC,21.531468411968763
NM,1225.5709703473685,2836280.0,16,Southwestern Public Service Co,18.355028417504617
MO,1211.8483192370375,2091750.0,12,Union Electric Co - (MO),19.12274411378033
PA,1083.0148540946623,1457000.0,15,Exus Pennsylvania Wind Holdings,21.06382978723404
WA,1039.6216615621445,3389850.0,17,Puget Sound Energy Inc,22.770919067215363
CO,1000.6873395444683,4835590.0,23,Public Service Co of Colorado,22.6321917284137
IN,996.087458241895,3035860.0,15,AE Power Services LLC,19.897162583254826
RI,891.7954815695601,43500.0,14,Greenbacker Renewable Energy Corporation,17.24137931034483
NE,872.02043055307,2661780.0,25,Berkshire Hathaway,15.02753796331778
SD,746.6108424893424,2851400.0,18,Engie North America,12.703934909167428
ND,530.7340414719624,4262820.0,27,"ALLETE, Inc.",11.649565311225903
CA,520.6435355202237,5275981.0,44,Terra-Gen Operating Co-Wind,11.493521299640769
IL,511.43437257546606,6364565.0,33,"Big Sky Wind, LLC",9.530894884410797
KS,356.93274642685475,7315440.0,36,AE Power Services LLC,7.002996402130289
OK,340.66736779133464,9642755.0,41,Southern Company,7.203335561258167
TX,279.7090741859071,33284115.0,110,"Big Sky Wind, LLC",11.31536770618657
